-67,-72,-127,-83,-77,-66,-127,-127,-127,-127,-127,-127,-127,-127,2
-69,-72,-127,-127,-72,-53,-127,-127,-127,-127,-127,-127,-127,-127,3
-76,-127,-127,-127,-68,-72,-127,-127,-127,-127,-127,-127,-127,-127,7
-67,-72,-127,-127,-70,-61,-127,-127,-127,-127,-127,-127,-127,-127,4
-54,-67,-74,-66,-73,-48,-127,-127,-127,-127,-127,-127,-127,-127,0
-127,-74,-127,-127,-71,-77,-127,-127,-127,-127,-127,-127,-127,-127,5
-127,-69,-127,-79,-63,-61,-127,-127,-127,-127,-127,-127,-127,-127,6
-73,-70,-127,-127,-71,-55,-127,-127,-127,-127,-127,-127,-127,-127,2
-127,-74,-127,-127,-72,-63,-127,-127,-127,-127,-127,-127,-127,-127,6
-52,-66,-72,-68,-76,-42,-127,-127,-127,-127,-127,-127,-127,-127,0
-127,-72,-127,-127,-60,-51,-127,-75,-127,-127,-127,-127,-127,-127,6
-75,-60,-127,-127,-72,-46,-127,-127,-127,-127,-127,-127,-127,-127,3
-127,-71,-127,-127,-54,-67,-127,-127,-127,-127,-127,-127,-127,-127,5
-59,-74,-74,-78,-75,-67,-127,-127,-127,-127,-127,-127,-127,-127,1
-67,-67,-127,-69,-73,-49,-127,-127,-127,-127,-127,-127,-127,-127,3
-64,-127,-69,-74,-72,-56,-127,-127,-127,-127,-127,-127,-127,-127,1
-127,-71,-127,-127,-62,-63,-127,-127,-127,-127,-127,-127,-127,-127,6
-61,-73,-127,-79,-68,-38,-75,-127,-127,-127,-127,-127,-127,-127,4
-73,-65,-127,-127,-69,-45,-127,-75,-127,-127,-127,-127,-127,-127,4
-58,-71,-67,-127,-78,-55,-127,-127,-127,-127,-127,-127,-127,-127,1
-65,-70,-127,-73,-71,-45,-127,-127,-127,-127,-127,-127,-127,-127,0
-64,-127,-127,-69,-127,-53,-127,-127,-127,-127,-127,-127,-127,-127,0
-72,-64,-75,-127,-75,-67,-127,-127,-127,-127,-127,-127,-127,-127,2
-69,-72,-127,-82,-75,-58,-127,-127,-127,-127,-127,-127,-127,-127,2
-127,-74,-127,-127,-61,-68,-127,-127,-127,-127,-127,-127,-127,-127,5
